title,method,host,port,path
ofd.kontur,POST,ofd.kontur.ru,443,{rand}
cash.kontur,POST,cash-ntt.kontur.ru,443,{rand}
tildacdn.com,POST,tildacdn.com,443,{rand}
cse-rus.ru,POST,www.cse-rus.ru,443,{rand}
024.by,POST,www.024.by,443,{rand}
24ecp,POST,www.24ecp.ru,80,{rand}
Alfaradio.By,POST,alfaradio.by,443,{rand}
Astralnalog,POST,www.astralnalog.ru,80,{rand}
Belarus.By,POST,www.belarus.by,443,{rand}
Belarus24.By,POST,belarus24.by,443,{rand}
Belinfonalog,POST,www.belinfonalog.ru,80,{rand}
Belnovosti.By,POST,www.belnovosti.by,443,{rand}
Belta,POST,www.belta.by,443,{rand}
Bonkypay.Com,POST,bonkypay.com,443,{rand}
Ca.Gisca,POST,ca.gisca.ru,80,{rand}
Ca.Kamgov,POST,ca.kamgov.ru,80,{rand}
Ca.Ntssoft,POST,ca.ntssoft.ru,80,{rand}
Center-Inform,POST,www.center-inform.ru,80,{rand}
Cfmc,POST,cfmc.ru,80,{rand}
Cit-Ufa,POST,www.cit-ufa.ru,80,{rand}
Cleanbtc.Ru,POST,cleanbtc.ru,443,{rand}
Council.Gov.Ru,POST,council.gov.ru,443,{rand}
Crypset,POST,www.crypset.ru,80,{rand}
Data.Gov.Ru,POST,data.gov.ru,443,{rand}
Dreamkas,POST,dreamkas.ru,80,{rand}
E-Portal,POST,www.e-portal.ru,80,{rand}
Elkursk,POST,elkursk.ru,80,{rand}
Epnow,POST,epnow.ru,80,{rand}
Faft,POST,tourism.gov.ru,443,{rand}
Fsb,POST,www.fsb.ru,80,{rand}
Gocminenergo,POST,minenergo.gov.ru,443,{rand}
Gosuslugi.Ru,POST,www.gosuslugi.ru,80,{rand}
Gov.Ru,POST,gov.ru,80,{rand}
Govcouncil,POST,council.gov.ru,80,{rand}
Govdata,POST,data.gov.ru,443,{rand}
Government,POST,government.gov.ru,80,{rand}
Govfas,POST,en.fas.gov.ru,443,{rand}
Govregulation,POST,regulation.gov.ru,443,{rand}
Grodnonews.By,POST,grodnonews.by,443,{rand}
Icentr,POST,www.icentr.ru,80,{rand}
Icvibor,POST,www.icvibor.ru,80,{rand}
Iecp,POST,iecp.ru/ep/ep-verification,443,{rand}
Iecp,POST,iecp.ru/ep/uc-list,443,{rand}
Imctax.Parus-S,POST,imctax.parus-s.ru,80,{rand}
Infotrust,POST,www.infotrust.ru,80,{rand}
Interfax.Ru,POST,interfax.ru,443,{rand}
Interfax.com,POST,interfax.com,443,{rand}
Izhtender,POST,izhtender.ru,80,{rand}
Kartoteka,POST,www.kartoteka.ru,80,{rand}
Kgb,POST,kgb.by,80,{rand}
Kk.Bank/Udts,POST,kk.bank/udts,443,{rand}
Kraskript,POST,kraskript.com,80,{rand}
Kt-69,POST,www.kt-69.ru,80,{rand}
Lenta.Ru,POST,lenta.ru,443,{rand}
Mascom-It,POST,mascom-it.ru,80,{rand}
Mcspro,POST,mcspro.ru,80,{rand}
Mil.By,POST,www.mil.by,443,{rand}
Minenergo.Gov.Ru,POST,minenergo.gov.ru,443,{rand}
Minsknews.By,POST,minsknews.by,443,{rand}
Mogilevnews.By,POST,mogilevnews.by,443,{rand}
Nucrf,POST,www.nucrf.ru,80,{rand}
Nwudc,POST,www.nwudc.ru,80,{rand}
Ont.By,POST,ont.by,443,{rand}
Otchet-Online,POST,www.otchet-online.ru,80,{rand}
Pravo.Gov,POST,pravo.gov.ru,80,{rand}
Radiobelarus.By,POST,radiobelarus.by,443,{rand}
Radiobrestfm.By,POST,radiobrestfm.by,443,{rand}
Radiomir.By,POST,radiomir.by,443,{rand}
Radiostalica.By,POST,radiostalica.by,443,{rand}
Radiusfm.By,POST,radiusfm.by,443,{rand}
Rcarus,POST,www.rcarus.ru,80,{rand}
Rk72,POST,rk72.ru,80,{rand}
Roseltorg,POST,www.roseltorg.ru,80,{rand}
Roskomnadzor,POST,eais.rkn.gov.ru,443,{rand}
Rosstat,POST,rosstat.gov.ru,443,{rand}
Rsbis,POST,rsbis.ru/elektronnaya-podpis,80,{rand}
Sb,POST,www.sb.by,443,{rand}
Slonves.By,POST,www.slonves.by,443,{rand}
Sputnik,POST,sputnik.by,443,{rand}
Squaretrade,POST,squaretrade.ru,80,{rand}
Structure.Mil.Ru,POST,structure.mil.ru/structure/uc/info.htm,80,{rand}
Stv-It,POST,www.stv-it.ru,80,{rand}
Tass.Ru,POST,tass.ru,443,{rand}
transneft,POST,www.transneft.ru,443,{rand}
tektorg,POST,www.tektorg.ru,443,{rand}
Tvr,POST,www.tvr.by,443,{rand}
Tvrmogilev,POST,www.tvrmogilev.by,443,{rand}
Uc-Osnovanie,POST,uc-osnovanie.ru/,443,{rand}
Ucestp,POST,ucestp.ru,80,{rand}
Ucpir,POST,www.ucpir.ru,80,{rand}
Udcs,POST,udcs.ru,80,{rand}
Y-Center,POST,www.y-center.ru,80,{rand}
Zakupki,POST,zakupupki.gov,80,{rand}
Zarya,POST,zarya.by,443,{rand}
boxberry.ru,POST,boxberry.ru,443,{rand}
sso.sbis.ru,POST,sso.sbis.ru,443,{rand}
vk.ru,POST,lukoil.ru,443,{rand}
vk.com,POST,vk.com,443,{rand}
ok.ru,POST,ok.ru,443,{rand}
lukoil.com,POST,lukoil.com,443,{rand}
sber-am.ru,POST,sber-am.ru,443,{rand}
region-am.ru,POST,region-am.ru,443,{rand}
www.ingosinvest.ru,POST,www.ingosinvest.ru,443,{rand}
star-pro.ru,POST,star-pro.ru,443,{rand}
region.ru,POST,region.ru,443,{rand}
ul.su,POST,ul.su,443,{rand}
gruzovozkin.pro,POST,gruzovozkin.pro,443,{rand}
ddosguard,POST,185.178.208.151,443,{rand}
